Word,Bigram,Conc.M,Conc.SD,Unknown,Total,Percent_known,SUBTLEX,Dom_Pos
a,0,1.46,1.14,2,30,0.93,1041179,Article
a cappella,1,2.92,1.44,3,29,0.90,0,Err:512
aardvark,0,4.68,0.86,0,28,1.00,21,Noun
aback,0,1.65,1.07,4,27,0.85,15,Adverb
abacus,0,4.52,1.12,2,29,0.93,12,Noun
abandon,0,2.54,1.45,1,27,0.96,413,Verb
abandoned,0,2.52,1.27,0,29,1.00,678,Verb
abandonee,0,2.92,1.28,4,28,0.86,0,Err:512
abandoner,0,2.5,1.5,2,30,0.93,1,Noun
abandonment,0,2.54,1.29,0,28,1.00,49,Noun
abasement,0,1.67,1.01,2,26,0.92,0,Err:512
abatement,0,1.92,1.29,4,30,0.87,3,Noun
abbreviate,0,2.59,1.53,0,27,1.00,1,Verb
abbreviated,0,3.1,1.54,0,30,1.00,16,Adjective
abbreviation,0,3.07,1.51,0,29,1.00,12,Noun
abdicate,0,2.08,1.29,2,28,0.93,9,Verb
abdomen,0,4.7,0.67,0,27,1.00,171,Noun
abdominal,0,4.28,1.16,0,29,1.00,174,Adjective
abdominally,0,3.15,1.46,3,30,0.90,0,Err:512
abduct,0,2.88,1.51,2,28,0.93,36,Verb
abductee,0,3.27,1.44,0,30,1.00,20,Err:512
abduction,0,3.07,1.47,0,27,1.00,185,Noun
abductor,0,3.89,1.37,0,28,1.00,18,Noun
abhor,0,1.81,1.17,3,29,0.90,12,Verb
abhorrence,0,2.15,1.26,1,28,0.96,0,Err:512
abhorrently,0,2.04,1.32,2,29,0.93,0,Err:512
abhorring,0,1.68,0.8,4,29,0.86,0,Err:512
abide,0,1.68,0.86,0,28,1.00,138,Verb
abiding,0,2.07,1.13,0,29,1.00,25,Adjective
abidingly,0,1.82,0.94,2,30,0.93,0,Err:512
ability,0,1.81,0.88,0,27,1.00,980,Noun
abject,0,1.67,0.96,4,28,0.86,20,Adjective
ablaze,0,3.82,1.16,0,28,1.00,21,Adjective
able,0,2.38,1.42,1,27,0.96,8155,Adjective
ably,0,1.78,1.19,2,29,0.93,9,Adverb
abnormal,0,2.14,1.38,0,29,1.00,148,Adjective
abnormality,0,2.48,1.33,0,25,1.00,26,Noun
abnormally,0,1.75,0.84,0,28,1.00,20,Adverb
aboard,0,3.97,1.3,0,30,1.00,1358,Adverb
abode,0,3.92,1.38,2,26,0.92,33,Noun
abolish,0,2.19,1.17,0,26,1.00,24,Verb
abolishable,0,1.96,1.16,3,27,0.89,0,Err:512
abolisher,0,2.29,1.15,1,29,0.97,0,Err:512
abolishment,0,2.31,1.42,0,29,1.00,0,Err:512
abolition,0,2.43,1.5,1,29,0.97,10,Noun
abolitionism,0,1.86,0.93,1,29,0.97,1,Noun
abolitionist,0,3.28,1.51,2,27,0.93,11,Noun
abominable,0,1.89,0.99,2,30,0.93,32,Adjective
abominableness,0,1.58,0.83,3,27,0.89,0,Err:512
abominably,0,2.14,1.13,1,30,0.97,8,Adverb
abominate,0,1.68,0.99,3,28,0.89,3,Verb
abomination,0,2.23,1.24,0,26,1.00,58,Noun
aboriginal,0,3.12,1.34,2,28,0.93,9,Adjective
abort,0,2.83,1.23,0,30,1.00,235,Verb
aborted,0,2.83,1.36,0,29,1.00,32,Verb
abortion,0,3.41,1.39,0,27,1.00,369,Noun
abortionist,0,3.19,1.47,1,27,0.96,4,Noun
abortive,0,1.88,0.99,3,29,0.90,1,Adjective
abortively,0,1.95,1.05,4,26,0.85,1,Adverb
abound,0,2.27,1.19,2,28,0.93,18,Verb
abounding,0,2.04,1.19,2,29,0.93,4,Verb
about,0,1.77,0.95,0,26,1.00,185206,Preposition
above,0,3.33,1.34,0,24,1.00,2493,Preposition
above all,1,2.11,1.55,2,29,0.93,0,Err:512
aboveboard,0,2.8,1.47,4,29,0.86,14,Noun
aboveground,0,4.03,1.24,0,29,1.00,7,Adjective
abovementioned,0,2.96,1.57,1,29,0.97,1,Adjective
abracadabra,0,2.04,1.43,3,29,0.90,53,Noun
abrasion,0,4.57,0.88,0,28,1.00,18,Noun
abrasive,0,3.03,1.35,0,30,1.00,23,Adjective
abrasively,0,2.07,1.07,0,29,1.00,0,Err:512
abrasiveness,0,2.72,1.31,0,29,1.00,2,Noun
abreast,0,2.23,1.31,1,27,0.96,26,Adjective
abridge,0,2.77,1.53,0,26,1.00,1,Noun
abridged,0,1.77,1.03,1,27,0.96,9,Adjective
abridgment,0,2.67,1.58,3,27,0.89,0,Err:512
abroad,0,2.72,1.43,1,26,0.96,250,Adverb
abrupt,0,2.27,1.11,0,30,1.00,58,Adjective
abruptly,0,2.36,1.28,0,28,1.00,45,Adverb
abruptness,0,2.04,1.02,0,27,1.00,4,Noun
abscess,0,4.48,0.8,1,28,0.96,25,Noun
abscessed,0,2.69,1.29,1,27,0.96,3,Verb
absence,0,2.31,1.35,0,26,1.00,322,Noun
absent,0,2.7,1.44,0,30,1.00,131,Adjective
absentee,0,3.29,1.38,0,28,1.00,18,Noun
absenteeism,0,2.35,1.47,3,26,0.88,5,Noun
absently,0,1.71,1.12,0,28,1.00,0,Err:512
absentminded,0,2,0.96,0,29,1.00,3,Adjective
absentmindedly,0,1.76,1.09,0,29,1.00,0,Err:512
absentmindedness,0,1.75,1.11,1,29,0.97,1,Noun
absentness,0,1.88,1.07,1,27,0.96,0,Err:512
absinthe,0,4.3,1.22,1,24,0.96,28,Verb
absolute,0,1.81,1.24,0,27,1.00,577,Adjective
absolutely,0,1.97,1.19,0,30,1.00,5769,Adverb
absoluteness,0,1.5,1.04,0,30,1.00,1,Noun
absolution,0,1.78,1.05,2,29,0.93,48,Noun
absolutism,0,1.46,1.03,2,28,0.93,0,Err:512
absolutist,0,2.7,1.4,4,27,0.85,0,Err:512
absolvable,0,1.8,1.08,3,28,0.89,0,Err:512
absolve,0,1.85,1.01,1,27,0.96,29,Verb
absorb,0,3.11,1.26,0,28,1.00,101,Verb
absorbability,0,2.38,1.06,4,28,0.86,0,Err:512
absorbable,0,2.47,1.36,0,30,1.00,0,Err:512
absorbed,0,2.44,1.26,0,25,1.00,78,Verb
absorbency,0,2.97,1.4,0,31,1.00,0,Err:512
absorbent,0,3.1,1.45,0,29,1.00,8,Adjective
absorber,0,2.96,1.43,2,29,0.93,3,Noun
absorbing,0,3.33,1,0,27,1.00,23,Verb
absorbingly,0,2.04,1.23,4,28,0.86,0,Err:512
absorption,0,3.22,1.48,0,27,1.00,18,Noun
absorptiveness,0,2.19,1.18,2,29,0.93,0,Err:512
abstain,0,2.38,1.42,0,29,1.00,26,Verb
abstainer,0,2.62,1.47,3,29,0.90,0,Err:512
abstention,0,2.16,1.28,4,29,0.86,6,Noun
abstinence,0,1.72,1.28,0,29,1.00,45,Noun
abstinent,0,1.77,1.18,3,29,0.90,3,Noun
abstinently,0,2,1.05,3,31,0.90,0,Err:512
abstract,0,1.45,0.91,0,29,1.00,111,Adjective
abstracted,0,1.48,0.87,1,30,0.97,3,Adjective
abstractedly,0,1.54,0.96,1,29,0.97,0,Err:512
abstractedness,0,1.59,0.8,2,29,0.93,0,Err:512
abstraction,0,1.57,1,0,28,1.00,15,Noun
abstractionism,0,1.75,1.15,3,27,0.89,0,Err:512
abstractionist,0,2.52,1.66,4,29,0.86,1,Noun
abstractive,0,1.6,1.15,2,27,0.93,0,Err:512
abstractly,0,1.36,0.62,1,29,0.97,2,Adverb
abstractness,0,1.5,1.04,0,30,1.00,0,Err:512
absurd,0,1.64,0.95,0,28,1.00,495,Adjective
absurdity,0,1.25,0.59,1,29,0.97,32,Noun
absurdly,0,1.55,0.87,0,29,1.00,15,Adverb
absurdness,0,1.46,0.92,0,28,1.00,0,Err:512
abundance,0,2.21,1.2,1,29,0.97,45,Noun
abundant,0,2.83,1.46,0,30,1.00,29,Adjective
abundantly,0,2.22,1.28,0,27,1.00,21,Adverb
abuse,0,2.71,1.27,0,28,1.00,523,Noun
abuser,0,3.86,1.51,2,30,0.93,16,Noun
abusive,0,2.55,1.43,0,29,1.00,83,Adjective
abusively,0,2.2,1.21,0,30,1.00,0,Err:512
abusiveness,0,1.84,1.18,1,26,0.96,1,Noun
abysmally,0,2.12,0.97,3,28,0.89,1,Adverb
abyss,0,3.07,1.7,0,28,1.00,90,Noun
academia,0,2.12,1.26,3,27,0.89,12,Noun
academic,0,2.11,1.22,0,27,1.00,238,Adjective
academic year,1,3.71,1.46,0,28,1.00,0,Err:512
academically,0,1.9,1.03,0,30,1.00,11,Adverb
academy,0,4.29,1.12,0,28,1.00,633,Noun
accelerant,0,3.4,1.35,2,27,0.93,28,Noun
accelerate,0,3.48,1.37,0,27,1.00,65,Verb
accelerated,0,3.18,1.36,0,28,1.00,49,Adjective
acceleration,0,2.97,1.3,0,29,1.00,44,Noun
accelerative,0,2.69,1.38,1,27,0.96,0,Err:512
accelerator,0,4.32,1.06,0,28,1.00,69,Noun
acceleratory,0,2.25,1.19,4,28,0.86,0,Err:512
accelerometer,0,4.08,1.38,4,28,0.86,0,Err:512
accent,0,3.26,1.16,0,27,1.00,621,Noun
accentually,0,2.08,1.29,3,29,0.90,0,Err:512
accentuate,0,2,1.17,0,30,1.00,18,Verb
accentuation,0,2.08,1.15,3,28,0.89,0,Err:512
accept,0,3.03,1.57,0,29,1.00,2692,Verb
acceptability,0,1.74,0.81,0,27,1.00,0,Err:512
acceptable,0,1.93,1.12,0,28,1.00,269,Adjective
acceptableness,0,1.28,0.54,4,29,0.86,0,Err:512
acceptably,0,1.48,0.77,1,32,0.97,0,Err:512
acceptance,0,2.21,1.26,0,28,1.00,161,Noun
acceptant,0,2.08,1.26,4,30,0.87,1,Noun
accepted,0,2.28,1.33,0,29,1.00,801,Verb
acceptor,0,2.79,1.38,3,27,0.89,0,Err:512
access,0,2.71,1.44,0,28,1.00,1615,Noun
accessibility,0,2.3,1.23,0,27,1.00,2,Noun
accessible,0,1.8,0.96,1,26,0.96,56,Adjective
accessibly,0,2.35,1.32,1,27,0.96,0,Err:512
accessorize,0,2.93,1.49,0,29,1.00,18,Verb
accessory,0,4.1,1.16,0,30,1.00,147,Noun
accident,0,3.26,1.48,0,27,1.00,4146,Noun
accidental,0,2.17,1.23,0,29,1.00,153,Adjective
accidentally,0,1.71,0.94,0,28,1.00,449,Adverb
accidently,0,1.88,1.05,0,25,1.00,11,Adverb
acclaim,0,2.04,1.21,1,26,0.96,22,Noun
acclaimer,0,2.04,1.4,4,27,0.85,0,Err:512
acclamation,0,2.23,1.14,3,29,0.90,1,Noun
acclimate,0,1.79,0.72,1,25,0.96,8,Verb
acclimation,0,1.9,0.77,1,30,0.97,0,Err:512
acclimatization,0,1.83,0.96,1,25,0.96,1,Noun
acclimatize,0,2.12,1.08,4,28,0.86,1,Verb
accolade,0,2.46,1.32,2,30,0.93,1,Noun
accommodate,0,1.86,1.08,1,29,0.97,109,Verb
accommodating,0,1.77,1.11,0,26,1.00,36,Verb
accommodatingly,0,2.17,1.03,4,27,0.85,0,Err:512
accommodation,0,2.96,1.19,0,27,1.00,48,Noun
accommodative,0,1.73,0.83,4,26,0.85,1,Adjective
accommodator,0,2.78,1.53,3,30,0.90,0,Err:512
accompanier,0,2.71,1.33,4,28,0.86,1,Err:512
accompaniment,0,2.26,1.02,1,28,0.96,15,Noun
accompany,0,3.07,1.3,0,28,1.00,242,Verb
accomplice,0,3.34,1.37,0,29,1.00,216,Noun
accomplish,0,2.33,1.37,0,30,1.00,298,Verb
accomplishable,0,1.82,1.12,1,29,0.97,0,Err:512
accomplished,0,1.7,1.07,0,27,1.00,384,Verb
accomplisher,0,2.52,1.27,1,24,0.96,0,Err:512
accomplishment,0,2.5,1.37,0,28,1.00,96,Noun
accord,0,1.57,1.04,3,26,0.88,83,Noun
accordance,0,1.54,0.84,2,30,0.93,81,Preposition
accordantly,0,1.57,0.9,3,26,0.88,0,Err:512
according,0,1.63,0.74,0,27,1.00,2135,Preposition
accordingly,0,1.58,0.92,0,31,1.00,93,Adverb
accordion,0,4.86,0.59,1,29,0.97,67,Noun
accordionist,0,4.61,0.96,0,28,1.00,0,Err:512
accosted,0,2.52,1.45,2,27,0.93,34,Verb
account,0,3.08,1.52,0,26,1.00,2280,Noun
accountability,0,1.55,0.99,0,29,1.00,24,Noun
accountable,0,2.21,1.26,0,29,1.00,72,Adjective
accountableness,0,1.39,0.66,3,26,0.88,0,Err:512
accountably,0,1.91,1.24,3,26,0.88,0,Err:512
accountancy,0,1.68,1.02,2,30,0.93,3,Noun
accountant,0,4.41,0.91,0,29,1.00,315,Noun
accounting,0,3.27,1.66,0,26,1.00,230,Noun
accredit,0,2.15,1.26,2,29,0.93,0,Err:512
accreditation,0,2.68,1.39,1,29,0.97,9,Noun
accredited,0,2.27,1.23,0,30,1.00,16,Adjective
accrue,0,1.61,1.03,3,26,0.88,4,Verb
accruement,0,2.46,1.36,4,30,0.87,0,Err:512
accumulate,0,3,1.26,0,25,1.00,29,Verb
accumulation,0,2.97,1.43,0,30,1.00,13,Noun
accumulative,0,2.56,1.23,0,25,1.00,3,Adjective
accumulatively,0,2.36,1.31,1,29,0.97,0,Err:512
accumulativeness,0,1.92,0.97,3,27,0.89,0,Err:512
accumulator,0,2.64,1.15,1,26,0.96,1,Noun
accuracy,0,1.85,1.23,0,27,1.00,76,Noun
accurate,0,1.9,1.18,1,30,0.97,400,Adjective
accurately,0,2.39,1.52,0,28,1.00,58,Adverb
accurateness,0,2.32,1.47,1,29,0.97,0,Err:512
accursed,0,1.93,0.73,3,30,0.90,33,Adjective
accusable,0,1.91,0.95,4,27,0.85,0,Err:512
accusation,0,2.38,1.24,0,29,1.00,143,Noun
accusative,0,1.6,0.76,0,25,1.00,0,Err:512
accusatively,0,1.64,0.99,0,25,1.00,0,Err:512
accusatorial,0,1.96,1.28,4,30,0.87,0,Err:512
accusatory,0,2.15,1.2,1,28,0.96,3,Adjective
accuse,0,2.25,1.29,0,28,1.00,290,Verb
accused,0,2.93,1.38,0,27,1.00,666,Verb
accuser,0,3.44,1.58,0,27,1.00,15,Noun
accusingly,0,1.57,0.69,0,28,1.00,0,Err:512
accustom,0,1.48,0.64,1,28,0.96,6,Verb
accustomed,0,2.07,1.05,0,30,1.00,149,Adjective
ace,0,3.92,1.47,1,27,0.96,751,Noun
acetaminophen,0,3.8,1.76,0,25,1.00,5,Noun
acetone,0,4.42,1.03,2,28,0.93,8,Noun
acetylene,0,3.58,1.74,4,28,0.86,23,Noun
ache,0,3.43,1.45,0,28,1.00,127,Noun
achievable,0,2.07,1.27,0,27,1.00,2,Adjective
achieve,0,2.29,1.3,0,28,1.00,374,Verb
achievement,0,2.37,1.5,0,30,1.00,178,Noun
achiever,0,2.04,1.28,1,27,0.96,12,Verb
achiness,0,2.54,1.36,0,26,1.00,1,Noun
aching,0,2.72,1.58,0,29,1.00,105,Verb
achingly,0,2.17,1.13,1,25,0.96,2,Adverb
achy,0,2.96,1.22,3,29,0.90,23,Adjective
acid,0,4.25,1,0,28,1.00,508,Noun
acid rain,1,4.2,1.3,0,30,1.00,0,Err:512
acid test,1,4.04,1.25,0,26,1.00,0,Err:512
acidic,0,3.54,1.39,0,26,1.00,11,Adjective
acidification,0,2.78,1.22,3,30,0.90,0,Err:512
acidify,0,2.6,1.35,0,30,1.00,0,Err:512
acidity,0,3.4,1.35,1,26,0.96,10,Noun
acidly,0,2.18,1.19,1,29,0.97,0,Err:512
acidometer,0,4.05,1.46,4,26,0.85,0,Err:512
acknowledge,0,2.03,1.33,0,31,1.00,313,Verb
acknowledgeable,0,1.69,0.85,0,29,1.00,0,Err:512
acknowledged,0,2.19,1.33,0,27,1.00,100,Verb
acknowledgement,0,2.62,1.42,0,29,1.00,21,Noun
acne,0,4.89,0.32,0,27,1.00,46,Noun
acorn,0,4.96,0.19,0,27,1.00,37,Noun
acoustic,0,3.28,1.19,1,30,0.97,49,Adjective
acoustical,0,2.42,1.35,2,26,0.92,6,Adjective
acoustically,0,2.5,1.28,0,30,1.00,1,Adverb
acoustics,0,3.12,1.24,0,25,1.00,22,Noun
acquaint,0,1.52,0.63,1,30,0.97,20,Verb
acquaintance,0,3.41,1.18,0,29,1.00,273,Noun
acquainted,0,2.37,1.59,0,30,1.00,231,Verb
acquiesce,0,2.21,1.06,4,28,0.86,3,Verb
acquiescently,0,1.58,1.14,3,29,0.90,0,Err:512
acquirable,0,2.04,0.94,1,28,0.96,0,Err:512
acquire,0,2.93,1.27,0,28,1.00,135,Verb
acquired,0,2.54,1.17,0,28,1.00,228,Verb
acquirement,0,2,1.11,1,28,0.96,0,Err:512
acquirer,0,2.52,1.27,4,27,0.85,1,Noun
acquisition,0,2.6,1.41,0,25,1.00,74,Noun
acquisitive,0,2.08,1.1,4,28,0.86,3,Adjective
acquisitively,0,1.81,1.14,2,29,0.93,0,Err:512
acquit,0,2.13,1.17,1,31,0.97,24,Noun
acquittal,0,2.38,1.32,1,30,0.97,37,Noun
acquitter,0,2.88,1.42,3,28,0.89,0,Err:512
acre,0,4.18,1.22,0,28,1.00,93,Noun
acrid,0,2.68,1.6,2,27,0.93,2,Adjective
acrimoniously,0,1.61,1.12,3,26,0.88,0,Err:512
acrobat,0,4.46,0.88,0,28,1.00,30,Noun
acrobatic,0,3.14,1.38,1,30,0.97,12,Adjective
acrobatically,0,2.96,1.34,1,28,0.96,0,Err:512
acrobatics,0,4.36,0.95,0,25,1.00,11,Noun
acronym,0,2.64,1.52,0,28,1.00,15,Noun
acrophobia,0,2.32,1.49,3,31,0.90,10,Noun
across,0,3.07,1.21,0,28,1.00,4801,Preposition
acrostically,0,2,1.23,4,26,0.85,0,Err:512
acrylic,0,4.31,0.84,1,27,0.96,23,Adjective
act,0,2.46,1.27,0,26,1.00,5565,Verb
act on,1,2.36,1.37,0,28,1.00,0,Err:512
act out,1,3.07,1.27,0,28,1.00,0,Err:512
act upon,1,2.28,1.31,0,29,1.00,0,Err:512
acting,0,2.54,1.35,0,28,1.00,2675,Verb
action,0,2.86,1.36,0,29,1.00,3115,Noun
actionable,0,2.04,1.37,1,26,0.96,13,Adjective
activate,0,2.97,1.35,0,29,1.00,238,Verb
activation,0,2.41,1.31,0,27,1.00,43,Noun
activator,0,3.14,1.56,1,29,0.97,4,Noun
active,0,3.32,1.25,0,28,1.00,584,Adjective
actively,0,2.41,1.62,0,29,1.00,42,Adverb
activeness,0,2.52,1.28,2,29,0.93,0,Err:512
activism,0,1.79,1.08,0,29,1.00,9,Noun
activist,0,3.34,1.59,0,29,1.00,50,Noun
activity,0,2.72,1.4,0,25,1.00,657,Noun
actor,0,4.57,0.9,0,30,1.00,1343,Noun
actress,0,4.54,0.84,0,28,1.00,817,Noun
acts,0,3.29,1.61,0,28,1.00,636,Noun
actual,0,2.22,1.34,0,27,1.00,884,Adjective
actuality,0,1.96,1.34,0,27,1.00,24,Noun
actualization,0,1.59,0.97,1,28,0.96,3,Noun
actualize,0,1.63,0.93,0,27,1.00,2,Verb
actually,0,1.37,0.89,0,30,1.00,16439,Adverb
actuarial,0,2.33,1.02,3,24,0.88,9,Adjective
acupressure,0,3.53,1.28,1,31,0.97,6,Noun
acupuncture,0,3.83,1.23,0,29,1.00,37,Noun
acupuncturist,0,4.56,1.01,1,28,0.96,9,Noun
acute,0,1.92,1.12,0,25,1.00,150,Adjective
acutely,0,1.83,0.97,0,29,1.00,14,Adverb
acuteness,0,2.41,1.24,0,29,1.00,1,Noun
ad,0,4.46,1.14,0,28,1.00,694,Noun
adage,0,1.86,0.94,4,26,0.85,32,Noun
adamant,0,1.65,0.89,1,27,0.96,50,Adjective
adamantly,0,1.46,0.69,2,30,0.93,2,Adverb
adapt,0,2.41,1.32,0,29,1.00,134,Verb
adaptability,0,1.38,0.75,0,26,1.00,7,Noun
adaptable,0,1.85,1.05,2,28,0.93,17,Adjective
adaptation,0,2.04,0.96,0,28,1.00,81,Noun
adapter,0,3.82,1.09,0,28,1.00,11,Noun
adaption,0,2.4,1.35,4,29,0.86,1,Noun
adaptive,0,1.97,1.27,0,30,1.00,11,Adjective
adaptively,0,2.3,1.3,1,28,0.96,0,Err:512
adaptor,0,4.04,1.09,0,27,1.00,4,Noun
add,0,3,1.51,0,30,1.00,1686,Verb
add on,1,3.64,1.25,1,29,0.97,0,Err:512
add up,1,2.62,1.37,0,29,1.00,0,Err:512
added,0,2.74,1.48,0,27,1.00,492,Verb
addendum,0,3.44,1.45,2,29,0.93,15,Noun
addict,0,3.14,1.38,0,29,1.00,273,Noun
addicted,0,2.13,1.18,0,31,1.00,231,Verb
addictedness,0,2.22,1.34,2,29,0.93,0,Err:512
addiction,0,2.85,1.41,0,26,1.00,199,Noun
addictive,0,2.22,1.48,0,27,1.00,57,Adjective
addictiveness,0,1.78,1.15,1,28,0.96,2,Noun
addition,0,2.89,1.37,0,27,1.00,395,Preposition
additional,0,2.43,1.19,0,30,1.00,300,Adjective
additionally,0,2.2,1.24,0,30,1.00,16,Adverb
additive,0,3.56,1.5,0,27,1.00,11,Adjective
additively,0,2,1.2,4,30,0.87,0,Err:512
address,0,3.89,1.26,0,28,1.00,2666,Noun
addressable,0,2.17,1.26,0,29,1.00,0,Err:512
addressbook,0,4.83,0.59,0,30,1.00,0,Err:512
addressee,0,3.16,1.6,3,28,0.89,6,Noun
addresser,0,3.19,1.64,2,29,0.93,2,Name
addressor,0,3.11,1.45,2,29,0.93,0,Err:512
adept,0,2.23,1.18,1,27,0.96,33,Adjective
adeptly,0,1.54,0.83,1,25,0.96,0,Err:512
adeptness,0,1.89,1.19,3,30,0.90,1,Noun
adequacy,0,1.86,1.08,2,30,0.93,1,Noun
adequate,0,1.97,1.09,0,29,1.00,132,Adjective
adequately,0,1.72,0.92,0,29,1.00,27,Adverb
adequateness,0,1.68,0.86,0,28,1.00,0,Err:512
adhere,0,2.62,1.4,0,29,1.00,29,Verb
adherence,0,1.5,0.66,1,25,0.96,9,Noun
adherent,0,2.45,1.21,0,29,1.00,3,Noun
adherently,0,2.11,1.31,0,28,1.00,0,Err:512
adhesion,0,3.32,1.31,0,28,1.00,6,Noun
adhesive,0,4.35,0.94,0,26,1.00,47,Noun
adhesively,0,2.87,1.42,2,25,0.92,0,Err:512
adhesiveness,0,3.3,1.21,0,30,1.00,0,Err:512
adjacent,0,3.63,1.36,0,27,1.00,68,Adjective
adjacently,0,2.97,1.52,0,31,1.00,0,Err:512
adjectivally,0,1.52,0.96,4,29,0.86,0,Err:512
adjective,0,2.43,1.4,0,28,1.00,25,Noun
adjoin,0,2.73,1.04,2,28,0.93,0,Err:512
adjoined,0,3.31,1.32,1,27,0.96,1,Adjective
adjoining,0,2.93,1.15,0,28,1.00,57,Adjective
adjourn,0,2.54,1.36,2,28,0.93,66,Verb
adjournment,0,2.82,1.33,2,30,0.93,11,Noun
adjudicate,0,2.12,1.2,3,28,0.89,5,Verb
adjudication,0,2.35,1.32,3,29,0.90,9,Noun
adjunct,0,2.19,1.2,3,29,0.90,7,Noun
adjust,0,2.93,1.36,0,28,1.00,287,Verb
adjustability,0,2.1,1.09,0,30,1.00,1,Noun
adjustable,0,3.27,1.26,0,30,1.00,16,Adjective
adjustably,0,1.9,0.77,0,29,1.00,0,Err:512
adjuster,0,3.23,1.42,1,27,0.96,20,Noun
adjustment,0,2.81,1.33,0,27,1.00,158,Noun
adjustor,0,3.43,1.55,1,29,0.97,4,Noun
admin,0,2.96,1.43,1,28,0.96,22,Noun
administer,0,2.53,1.31,0,30,1.00,85,Verb
administrable,0,1.62,0.94,3,29,0.90,0,Err:512
administrate,0,2.89,1.29,0,28,1.00,2,Verb
administration,0,2.78,1.45,0,27,1.00,387,Noun
administrational,0,2.08,1.13,3,29,0.90,0,Err:512
administrative,0,2.14,1.21,0,28,1.00,82,Adjective
administratively,0,1.93,1.18,1,29,0.97,0,Err:512
administrator,0,3.89,1.25,0,27,1.00,84,Noun
admirable,0,1.81,1.02,0,26,1.00,133,Adjective
admirableness,0,1.7,0.87,3,30,0.90,0,Err:512
admirably,0,1.5,0.69,0,28,1.00,21,Adverb
admiral,0,4.11,1.22,0,27,1.00,845,Noun
admiralship,0,2.96,1.55,4,28,0.86,0,Err:512
admiration,0,1.86,1.06,0,29,1.00,107,Noun
admire,0,2.04,1.1,0,28,1.00,722,Verb
admired,0,1.84,0.85,1,26,0.96,187,Verb
admirer,0,2.93,1.25,0,28,1.00,151,Noun
admiring,0,1.77,0.9,0,30,1.00,141,Verb
admiringly,0,1.89,1.03,0,28,1.00,0,Err:512
admissibility,0,1.65,1.06,0,26,1.00,4,Noun
admissible,0,1.88,0.95,0,26,1.00,37,Adjective
admissibleness,0,1.71,0.91,4,28,0.86,0,Err:512
admissibly,0,1.72,1.25,1,30,0.97,0,Err:512
admission,0,2.83,1.32,0,30,1.00,181,Noun
admissive,0,2.25,1.29,1,25,0.96,0,Err:512
admit,0,2.32,1.28,1,26,0.96,3019,Verb
admittance,0,2.26,1.51,0,27,1.00,34,Noun
admitted,0,1.85,1.12,0,26,1.00,467,Verb
admittedly,0,1.54,0.79,0,28,1.00,47,Adverb
admitter,0,2.93,1.52,2,29,0.93,0,Err:512
admonishingly,0,1.77,0.86,0,30,1.00,0,Err:512
admonishment,0,2.21,1.29,0,28,1.00,0,Err:512
adobe,0,4.19,1.17,2,28,0.93,24,Noun
adolescence,0,2.81,1.38,19,5885,1.00,44,Noun
adolescent,0,3.48,1.45,0,29,1.00,94,Adjective
adolescently,0,1.52,0.98,1,28,0.96,0,Err:512
adopt,0,2.36,1.25,0,28,1.00,238,Verb
adoptability,0,2.29,1.3,0,28,1.00,0,Err:512
adoptable,0,2.79,1.29,0,28,1.00,1,Adjective
adopted,0,2.39,1.29,0,28,1.00,430,Verb
adoptee,0,3.59,1.28,1,28,0.96,0,Err:512
adopter,0,3.33,1.27,1,28,0.96,1,Noun
adoption,0,3.03,1.45,0,29,1.00,239,Noun
adoptive,0,2,1.36,0,29,1.00,30,Adjective
adoptively,0,1.63,0.84,2,29,0.93,0,Err:512
adorability,0,1.41,0.57,0,29,1.00,1,Noun
adorable,0,1.86,0.95,0,29,1.00,537,Adjective
adorableness,0,2.19,1.27,1,28,0.96,1,Noun
adorably,0,1.96,1.1,0,28,1.00,2,Adverb
adoration,0,2.19,1.24,1,28,0.96,30,Noun
adore,0,2.34,1.37,0,29,1.00,394,Verb
adorer,0,2.76,1.33,2,31,0.94,0,Err:512
adoring,0,2.34,1.42,0,29,1.00,35,Adjective
adoringly,0,2.28,1.1,0,25,1.00,3,Adverb
adorn,0,2.38,1.28,0,24,1.00,8,Verb
adorner,0,2.96,1.49,2,25,0.92,0,Err:512
adornment,0,2.83,1.47,3,26,0.88,4,Noun
adrenal,0,3.28,1.49,1,30,0.97,16,Adjective
adrenalin,0,3.17,1.51,0,29,1.00,28,Noun
adrenaline,0,3.04,1.43,0,27,1.00,168,Noun
adrift,0,2.71,1.3,1,29,0.97,51,Adjective
adult,0,4.4,0.87,0,25,1.00,729,Noun
adulterate,0,2.76,1.33,3,28,0.89,1,Verb
adulteration,0,2.29,1.2,1,25,0.96,0,Err:512
adulterer,0,2.96,1.6,2,29,0.93,20,Noun
adulteress,0,3.72,1.39,0,29,1.00,13,Noun
adulterous,0,2.37,1.33,0,27,1.00,17,Adjective
adulterously,0,2.12,1.31,0,26,1.00,0,Err:512
adultery,0,2.79,1.5,1,30,0.97,99,Noun
adulthood,0,2.5,1.5,0,28,1.00,37,Noun
adultlike,0,2.27,1.43,0,26,1.00,0,Err:512
adultness,0,2.19,1.44,3,29,0.90,0,Err:512
advance,0,2.57,1.26,0,28,1.00,815,Noun
advanced,0,1.83,1.23,0,29,1.00,451,Adjective
advancement,0,2.1,1.21,0,30,1.00,63,Noun
advancer,0,2.48,1.4,2,23,0.91,0,Err:512
