Word,Bigram,Conc.M,Conc.SD,Unknown,Total,Percent_known,SUBTLEX,Dom_Pos
supernova,0,3.78,1.45,1,28,0.96,20,Noun
superpower,0,2.87,1.41,0,30,1.00,32,Noun
supersede,0,1.5,0.81,3,29,0.90,8,Verb
supersensitive,0,2.25,1.42,2,26,0.92,2,Adjective
supersensory,0,1.79,1.1,3,27,0.89,1,Adjective
supersize,0,3.29,1.49,0,28,1.00,5,Verb
supersonic,0,2.27,1.4,1,27,0.96,20,Adjective
superstar,0,3.36,1.39,0,28,1.00,175,Noun
superstition,0,2.07,1.28,0,30,1.00,105,Noun
superstitious,0,1.55,1.06,0,29,1.00,175,Adjective
superstitiously,0,1.58,1.06,2,28,0.93,0,Err:512
superstore,0,4.38,0.82,0,29,1.00,22,Noun
superstructure,0,3.72,1.34,3,28,0.89,14,Noun
supertanker,0,4.75,0.53,3,27,0.89,3,Noun
supervise,0,2.48,1.15,0,29,1.00,98,Verb
supervision,0,2.19,1.22,0,31,1.00,126,Noun
supervisor,0,4.26,0.86,0,27,1.00,304,Noun
supervisorial,0,2.08,1.16,3,29,0.90,0,Err:512
supervisory,0,2.46,1.4,1,29,0.97,16,Adjective
superwoman,0,4.1,1.35,0,30,1.00,17,Noun
supper,0,4.63,0.72,0,30,1.00,988,Noun
suppertime,0,3.66,1.45,0,29,1.00,31,Noun
supple,0,2.75,1.35,1,29,0.97,31,Adjective
supplement,0,3.07,1.54,1,29,0.97,58,Noun
supplemental,0,2.45,1.43,0,29,1.00,30,Adjective
supplementary,0,2.11,1.07,0,28,1.00,13,Adjective
supplementation,0,2.07,1.27,1,28,0.96,0,Err:512
suppleness,0,2.84,1.49,1,26,0.96,1,Noun
supplicating,0,2.11,1.31,2,29,0.93,1,Verb
supplication,0,2.29,1.2,4,28,0.86,6,Noun
supplier,0,3.41,1.18,0,29,1.00,99,Noun
supply,0,3.43,1.4,0,28,1.00,952,Noun
supply ship,1,4.2,1.24,0,30,1.00,0,Err:512
support,0,2.83,1.29,0,30,1.00,2587,Noun
support system,1,2.52,1.4,0,27,1.00,0,Err:512
supportability,0,1.73,0.96,0,26,1.00,0,Err:512
supportable,0,2.3,1.44,1,28,0.96,2,Adjective
supportably,0,1.67,0.92,0,30,1.00,0,Err:512
supporter,0,3.26,1.2,0,27,1.00,37,Noun
supporting,0,2.52,1.4,0,29,1.00,234,Verb
supportive,0,2.2,1.04,0,25,1.00,237,Adjective
supposable,0,1.44,0.7,2,29,0.93,0,Err:512
suppose,0,1.37,0.85,0,30,1.00,6416,Verb
supposed,0,1.6,0.91,0,25,1.00,12865,Adjective
supposedly,0,1.86,1.22,0,29,1.00,262,Adverb
supposing,0,1.93,1.05,0,28,1.00,178,Conjunction
supposition,0,1.77,0.96,1,32,0.97,16,Noun
suppositional,0,1.67,0.92,3,27,0.89,0,Err:512
suppository,0,4.37,1.22,1,31,0.97,13,Noun
suppress,0,2.22,1.28,0,27,1.00,76,Verb
suppressant,0,3.13,1.48,0,30,1.00,4,Noun
suppressed,0,2.1,1.21,0,29,1.00,35,Verb
suppresser,0,2.93,1.41,1,30,0.97,1,Noun
suppressible,0,1.81,1.06,2,28,0.93,0,Err:512
suppression,0,2.31,1.28,0,29,1.00,25,Noun
suppressive,0,1.67,1.07,2,29,0.93,4,Adjective
suppressor,0,2.93,1.36,1,28,0.96,9,Noun
supremacist,0,3.19,1.33,1,28,0.96,4,Noun
supremacy,0,1.9,1.05,0,29,1.00,29,Noun
supreme,0,2,1.25,0,29,1.00,447,Adjective
supreme court,1,4,1.34,0,29,1.00,0,Err:512
supremely,0,1.54,0.76,0,26,1.00,20,Adverb
surcharge,0,2.8,1.58,0,30,1.00,11,Noun
sure,0,1.73,0.92,1,27,0.96,56091,Adjective
surefire,0,2.07,1.27,2,29,0.93,13,Noun
surely,0,1.71,0.81,0,28,1.00,1407,Adverb
sureness,0,2.07,1.27,1,29,0.97,0,Err:512
surety,0,2.16,1.4,2,27,0.93,7,Noun
surf,0,4.57,0.86,0,30,1.00,324,Noun
surface,0,4.26,1.13,0,27,1.00,930,Noun
surfaced,0,3.07,1.27,1,28,0.96,43,Verb
surfacing,0,3.14,1.56,0,28,1.00,17,Verb
surfboard,0,4.57,1.22,0,30,1.00,47,Noun
surfboarding,0,4.2,1.12,0,25,1.00,2,Verb
surfer,0,4.73,0.78,0,30,1.00,83,Noun
surge,0,2.78,1.28,0,27,1.00,94,Noun
surgeon,0,4.54,0.64,0,28,1.00,838,Noun
surgery,0,4.34,0.97,0,29,1.00,1651,Noun
surgical,0,2.89,1.5,0,28,1.00,409,Adjective
surgically,0,3.2,1.42,0,30,1.00,55,Adverb
surging,0,3.11,1.15,0,27,1.00,17,Verb
surliness,0,1.67,0.96,3,30,0.90,2,Noun
surly,0,2.32,1.29,3,25,0.88,36,Adjective
surmise,0,1.78,1.19,2,29,0.93,18,Verb
surmised,0,1.84,0.94,2,27,0.93,10,Verb
surmount,0,1.83,0.82,3,27,0.89,5,Verb
surmountable,0,1.88,1.18,0,26,1.00,3,Adjective
surmounted,0,1.69,1.09,2,28,0.93,1,Verb
surname,0,2.79,1.63,0,29,1.00,48,Noun
surpass,0,2.73,1.55,0,30,1.00,18,Verb
surpassing,0,1.9,1.06,0,30,1.00,12,Verb
surpassingly,0,1.6,0.76,1,26,0.96,0,Err:512
surplus,0,3.33,1.4,0,30,1.00,104,Adjective
surprise,0,3.24,1.46,0,29,1.00,4534,Noun
surprised,0,2.5,1.33,0,26,1.00,2808,Adjective
surprising,0,2.27,1.2,0,30,1.00,307,Adjective
surprisingly,0,1.92,1.04,0,25,1.00,162,Adverb
surreal,0,1.3,0.61,0,27,1.00,57,Adjective
surrealism,0,2.27,1.51,1,27,0.96,14,Noun
surrealist,0,2.45,1.55,0,29,1.00,7,Adjective
surrealistic,0,1.76,1.3,0,29,1.00,11,Adjective
surrealistically,0,1.42,0.83,2,26,0.92,1,Adverb
surrender,0,2.63,1.52,0,30,1.00,789,Verb
surrogacy,0,2.38,1.43,2,23,0.91,5,Noun
surrogate,0,2.83,1.28,0,29,1.00,95,Noun
surround,0,2.81,1.42,0,27,1.00,156,Verb
surrounded,0,3.69,1.17,0,29,1.00,677,Verb
surrounding,0,3.12,1.4,0,26,1.00,192,Verb
surroundings,0,3.88,1.24,0,26,1.00,107,Noun
surveillance,0,3.11,1.53,0,27,1.00,952,Noun
survey,0,4.08,1.19,0,25,1.00,227,Noun
surveying,0,2.93,1.54,0,28,1.00,17,Verb
surveyor,0,3.85,1.38,1,28,0.96,13,Noun
survivability,0,1.71,1.01,0,28,1.00,3,Noun
survivable,0,2.33,1.24,0,27,1.00,2,Adjective
survival,0,2.34,1.45,0,29,1.00,515,Noun
survivalist,0,3.07,1.31,0,29,1.00,5,Noun
survive,0,2.55,1.5,0,29,1.00,1537,Verb
surviving,0,3.03,1.3,0,30,1.00,185,Verb
survivor,0,3.33,1.15,0,30,1.00,221,Noun
survivorship,0,2.08,1.35,1,25,0.96,3,Noun
susceptibility,0,1.6,0.87,1,26,0.96,5,Noun
susceptible,0,2.14,1.27,0,28,1.00,65,Adjective
