id_text,lemma
P238821,bēlu[lord]N ša[that]REL x[NA]NA x[NA]NA maṣû[sufficient]AJ adi[until]PRP mati[when?]QP x[NA]NA ina[in]PRP būnu[goodness]N nawru[bright]AJ x[NA]NA x[NA]NA etēqu[proceed]V x[NA]NA x[NA]NA yâšim[to-me]IP lā[not]MOD nadû[throw]V x[NA]NA
P238926,ana[to]PRP nīšu[lifting]N īnu[eye]N x[NA]NA x[NA]NA ana[to]PRP biblu[bringing]N libbu[interior]N nišu[people]N im-TA-x[NA]NA ana[to]PRP wardu[slave]N sahāru[go-around]V unnīnu[supplication]N leqû[take]V arnu[guilt]N pasāsu[erase]V kasûtu[bondage]N ramû[slacken]V ana[to]PRP maruṣtu[evil]N lū[may]MOD nadû[placed]AJ balāṭu[life]N qabû[say]V ša[that]REL ezziš[furiously]AV nekelmû[frown-at]V rēšu[head]N šaqû[be(come)-high]V ina[in]PRP libbu[interior]N ellu[pure]AJ gullultu[sin]N lū[may]MOD bašû[exist]V arhiš[quickly]AV pašāru[release]V
P238930,x[NA]NA x[NA]NA AD[NA]NA x[NA]NA x[NA]NA ul[not]MOD hummuṭu[very-hot]AJ x[NA]NA x[NA]NA šakānu[put]V x-ni-il[NA]NA x[NA]NA AŠ₂[NA]NA
P239246,nu[NA]NA x[NA]NA x[NA]NA x[NA]NA mati[when?]QP libbu[interior]N bēltu[lady]N x[NA]NA kīma[like]PRP labīru[original]N šaṭru[written]AJ barû[seen]AJ ṭuppu[tablet]N {DIŠ}{d}x[NA]NA
P239613,x[NA]NA x[NA]NA x[NA]NA x[NA]NA a[NA]NA KAL[NA]NA NI[NA]NA x[NA]NA x[NA]NA x[NA]NA lā[not]MOD ṭūbu[goodness]N libbu[interior]N x[NA]NA x[NA]NA bitrû[be(come)-continuous]V x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA
P239772,arnu[guilt]N paṭāru[loosen]V x[NA]NA x[NA]NA kīma[like]PRP libbu[interior]N ummu[mother]N wālittu[one-who-gives-birth]N x[NA]NA x[NA]NA x[NA]NA x[NA]NA
P239896,x[NA]NA x[NA]NA x[NA]NA x[NA]NA x-pu-ša₂-an-ni[NA]NA x-na[NA]NA x-x-ka-a[NA]NA x-ku[NA]NA
P240165,ša[that]REL ina[in]PRP gisallû[eaves]N x[NA]NA ēm[whatever]XP x[NA]NA ina[in]PRP bītu[house]N nasāhu[tear-out]V ana[to]PRP zīqīqu[wind]N târu[turn]V ša[that]REL ina[in]PRP hurru[hole]N x[NA]NA šu-x[NA]NA x[NA]NA ana[to]PRP lā[not]MOD bašû[exist]V târu[turn]V x[NA]NA
P240170,x[NA]NA x[NA]NA ana[to]PRP wardu[slave]N nâhu[rest]V x[NA]NA x[NA]NA x[NA]NA x[NA]NA x[NA]NA ana[to]PRP wardu[slave]N nâhu[rest]V
P258974,ina[in]PRP bītu[house]N šikaru[beer]N ka-ma-x[NA]NA Šubur-Tutu[1]PN ahu[brother]N talīmu[favourite-brother]N i-x-x[NA]NA u[and]CNJ anāku[I]IP ana[to]PRP qīštu[gift]N x[NA]NA semeru[ring]N qātu[hand]N ša[of]DET x-x[NA]NA appūna[moreover]AV mamman[somebody]XP i-x-x[NA]NA a-x[NA]NA ṭupšarrūtu[scribal-art]N x[NA]NA ša₂-an-x[NA]NA mi-x[NA]NA qa-x[NA]NA x[NA]NA eqlu[field]N šakku[harrowed]AJ x[NA]NA u[and]CNJ kī[like]PRP ṣehru[small-one]N x[NA]NA
